Comedy,Action,Sci-Fi & Fantasy,Independent,Romantic,Animation,Drama
0,1,0,1,0,1,0
1,1,1,1,0,1,1
1,1,1,0,0,1,1
0,0,1,0,0,0,0
1,1,1,1,0,1,1
1,1,1,0,0,0,1
0,0,0,1,0,1,1
0,0,0,0,0,0,0
1,1,1,1,0,1,1
1,1,1,0,0,0,0
1,1,0,0,0,1,1
0,0,1,0,0,1,1
0,0,0,0,0,1,1
1,1,1,0,0,1,1
0,0,0,1,0,1,1
1,0,0,1,0,0,0
1,0,0,1,0,1,1
1,0,0,0,0,1,0
0,1,1,0,0,0,1
0,1,0,1,0,0,0
0,0,0,0,0,1,1
1,1,0,1,0,0,1
1,1,0,1,0,1,1
1,1,0,0,0,0,0
0,1,1,0,0,1,1
0,0,0,0,0,0,0
1,0,1,0,0,1,0
0,0,0,1,0,0,0
0,0,0,0,0,1,1
0,1,1,1,0,1,1
1,1,1,0,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,0,0
1,1,1,1,0,0,0
1,1,1,1,0,1,1
1,0,0,0,0,1,1
0,0,0,0,0,0,0
1,0,0,0,0,0,1
1,1,0,0,0,1,1
1,1,1,0,0,1,1
1,0,0,0,0,1,1
1,1,1,1,0,0,0
0,0,0,0,0,1,1
1,0,0,0,0,0,0
1,1,0,1,0,0,1
1,1,1,1,0,1,1
1,1,1,0,0,1,1
